,game_identifier,image_path,centre_tile,context_string,features
1438,lode_runner,../data/context_data/lode_runner/@/bbb@@GBBB.png,@,bbb@@GBBB,"['passable', 'empty']"
17533,lode_runner,../data/context_data/lode_runner/b/---bbBB@@.png,b,---bbBB@@,"['solid', 'breakable']"
9710,lode_runner,../data/context_data/lode_runner/#/B#@b#-B@@.png,#,B#@b#-B@@,"['passable', 'climbable']"
21910,smb,../data/context_data/smb/-/---X--XXX.png,-,---X--XXX,"['passable', 'empty']"
13240,lode_runner,../data/context_data/lode_runner/b/bBbBbB@@B.png,b,bBbBbB@@B,"['solid', 'breakable']"
8291,lode_runner,../data/context_data/lode_runner/B/G@@BB#@@#.png,B,G@@BB#@@#,['solid']
18747,megaman,../data/context_data/megaman/-/--#--C###.png,-,--#--C###,"['passable', 'empty']"
24447,loz,../data/context_data/loz/F/BFBFFBBBB.png,F,BFBFFBBBB,['solid']
1684,lode_runner,../data/context_data/lode_runner/@/@@@@@---#.png,@,@@@@@---#,"['passable', 'empty']"
24330,loz,../data/context_data/loz/B/BFBFBFFFF.png,B,BFBFBFFFF,"['solid', 'block']"
19802,megaman,../data/context_data/megaman/#/--#######.png,#,--#######,['solid']
15325,lode_runner,../data/context_data/lode_runner/b/@@@#bb##b.png,b,@@@#bb##b,"['solid', 'breakable']"
13344,lode_runner,../data/context_data/lode_runner/b/#bG#bb#--.png,b,#bG#bb#--,"['solid', 'breakable']"
8601,lode_runner,../data/context_data/lode_runner/B/G#-BBB@@@.png,B,G#-BBB@@@,['solid']
16319,lode_runner,../data/context_data/lode_runner/b/-b @b bb .png,b,-b @b bb ,"['solid', 'breakable']"
11586,lode_runner,../data/context_data/lode_runner/#/b#@b#Gb#b.png,#,b#@b#Gb#b,"['passable', 'climbable']"
18937,megaman,../data/context_data/megaman/-/--D--D--D.png,-,--D--D--D,"['passable', 'empty']"
17191,lode_runner,../data/context_data/lode_runner/b/b#Ebbb@@@.png,b,b#Ebbb@@@,"['solid', 'breakable']"
19247,megaman,../data/context_data/megaman/-/#CC------.png,-,#CC------,"['passable', 'empty']"
3700,lode_runner,../data/context_data/lode_runner/@/@@@B@GB#b.png,@,@@@B@GB#b,"['passable', 'empty']"
9730,lode_runner,../data/context_data/lode_runner/#/bbbb####G.png,#,bbbb####G,"['passable', 'climbable']"
23510,smb,../data/context_data/smb/X/E-XXXX   .png,X,E-XXXX   ,['solid']
14127,lode_runner,../data/context_data/lode_runner/b/@##@bb@bb.png,b,@##@bb@bb,"['solid', 'breakable']"
22488,smb,../data/context_data/smb/X/----XX   .png,X,----XX   ,['solid']
20393,megaman,../data/context_data/megaman/-/ -- -- --.png,-, -- -- --,"['passable', 'empty']"
7518,lode_runner,../data/context_data/lode_runner/-/bbb--b@@b.png,-,bbb--b@@b,"['passable', 'climbable']"
19214,megaman,../data/context_data/megaman/-/|--|--|--.png,-,|--|--|--,"['passable', 'empty']"
23116,smb,../data/context_data/smb/-/SSX------.png,-,SSX------,"['passable', 'empty']"
9914,lode_runner,../data/context_data/lode_runner/#/##@##Gbbb.png,#,##@##Gbbb,"['passable', 'climbable']"
7902,lode_runner,../data/context_data/lode_runner/B/GGGBBB@@@.png,B,GGGBBB@@@,['solid']
8734,lode_runner,../data/context_data/lode_runner/B/@GB@BBGG@.png,B,@GB@BBGG@,['solid']
21676,megaman,../data/context_data/megaman/C/#CC#CC-##.png,C,#CC#CC-##,"['solid', 'hazard']"
25235,loz,../data/context_data/loz/W/OWWWWWWWW.png,W,OWWWWWWWW,"['solid', 'wall']"
14063,lode_runner,../data/context_data/lode_runner/b/#b bb    .png,b,#b bb    ,"['solid', 'breakable']"
16395,lode_runner,../data/context_data/lode_runner/b/bbb#bb##@.png,b,bbb#bb##@,"['solid', 'breakable']"
15029,lode_runner,../data/context_data/lode_runner/b/#b@bbb@@b.png,b,#b@bbb@@b,"['solid', 'breakable']"
15837,lode_runner,../data/context_data/lode_runner/b/#b@#bb   .png,b,#b@#bb   ,"['solid', 'breakable']"
17081,lode_runner,../data/context_data/lode_runner/b/@b#@b##@#.png,b,@b#@b##@#,"['solid', 'breakable']"
18142,kid_icarus,../data/context_data/kid_icarus/H/----H-MMM.png,H,----H-MMM,"['solid', 'hazard']"
24587,loz,../data/context_data/loz/F/FFOFFOFMF.png,F,FFOFFOFMF,['solid']
716,lode_runner,../data/context_data/lode_runner/G/bbbGGG   .png,G,bbbGGG   ,"['passable', 'collectable']"
14748,lode_runner,../data/context_data/lode_runner/b/@@@bbbbGb.png,b,@@@bbbbGb,"['solid', 'breakable']"
1001,lode_runner,../data/context_data/lode_runner/M/ @@ M@   .png,M, @@ M@   ,"['solid', 'hazard']"
16434,lode_runner,../data/context_data/lode_runner/b/###Gbbb@#.png,b,###Gbbb@#,"['solid', 'breakable']"
16655,lode_runner,../data/context_data/lode_runner/b/@#b#bbbbb.png,b,@#b#bbbbb,"['solid', 'breakable']"
804,lode_runner,../data/context_data/lode_runner/G/b@#bG#b-#.png,G,b@#bG#b-#,"['passable', 'collectable']"
4434,lode_runner,../data/context_data/lode_runner/@/#b@b@@@@b.png,@,#b@b@@@@b,"['passable', 'empty']"
16823,lode_runner,../data/context_data/lode_runner/b/@@@#bb#@@.png,b,@@@#bb#@@,"['solid', 'breakable']"
10286,lode_runner,../data/context_data/lode_runner/#/#@b@#bb#b.png,#,#@b@#bb#b,"['passable', 'climbable']"
9262,lode_runner,../data/context_data/lode_runner/B/@@@#B@#B@.png,B,@@@#B@#B@,['solid']
15819,lode_runner,../data/context_data/lode_runner/b/@b#bb@@b#.png,b,@b#bb@@b#,"['solid', 'breakable']"
6005,lode_runner,../data/context_data/lode_runner/@/@@@@@@B#b.png,@,@@@@@@B#b,"['passable', 'empty']"
4184,lode_runner,../data/context_data/lode_runner/@/@@@b@@@@-.png,@,@@@b@@@@-,"['passable', 'empty']"
9919,lode_runner,../data/context_data/lode_runner/#/b#b@##bb#.png,#,b#b@##bb#,"['passable', 'climbable']"
21789,smb,../data/context_data/smb/[/-[]-[]-[].png,[,-[]-[]-[],"['solid', 'pipe']"
5334,lode_runner,../data/context_data/lode_runner/@/@@@-@-@-@.png,@,@@@-@-@-@,"['passable', 'empty']"
24834,loz,../data/context_data/loz/F/FFFFFOMFM.png,F,FFFFFOMFM,['solid']
9085,lode_runner,../data/context_data/lode_runner/B/GBGBBb@@@.png,B,GBGBBb@@@,['solid']
5977,lode_runner,../data/context_data/lode_runner/@/@BB@@B#bb.png,@,@BB@@B#bb,"['passable', 'empty']"
25245,loz,../data/context_data/loz/W/MFFWWDWWW.png,W,MFFWWDWWW,"['solid', 'wall']"
18371,kid_icarus,../data/context_data/kid_icarus/#/---######.png,#,---######,['solid']
5005,lode_runner,../data/context_data/lode_runner/@/bBBb@@b@@.png,@,bBBb@@b@@,"['passable', 'empty']"
18531,kid_icarus,../data/context_data/kid_icarus/#/---M##-##.png,#,---M##-##,['solid']
12600,lode_runner,../data/context_data/lode_runner/#/@#bG#bb#@.png,#,@#bG#bb#@,"['passable', 'climbable']"
18971,megaman,../data/context_data/megaman/-/---L--##-.png,-,---L--##-,"['passable', 'empty']"
6156,lode_runner,../data/context_data/lode_runner/@/E@@b@@b@@.png,@,E@@b@@b@@,"['passable', 'empty']"
3277,lode_runner,../data/context_data/lode_runner/@/B#b@@b   .png,@,B#b@@b   ,"['passable', 'empty']"
22977,smb,../data/context_data/smb/-/ -- -- --.png,-, -- -- --,"['passable', 'empty']"
14580,lode_runner,../data/context_data/lode_runner/b/@b#@b@@b@.png,b,@b#@b@@b@,"['solid', 'breakable']"
7352,lode_runner,../data/context_data/lode_runner/-/bbb---@@G.png,-,bbb---@@G,"['passable', 'climbable']"
14482,lode_runner,../data/context_data/lode_runner/b/ G# bb bb.png,b, G# bb bb,"['solid', 'breakable']"
19548,megaman,../data/context_data/megaman/#/-#####---.png,#,-#####---,['solid']
24036,loz,../data/context_data/loz/D/FBFDDWWWW.png,D,FBFDDWWWW,"['solid', 'openable']"
24072,loz,../data/context_data/loz/D/PPPWDDWWW.png,D,PPPWDDWWW,"['solid', 'openable']"
17433,lode_runner,../data/context_data/lode_runner/b/@@MbbbbbB.png,b,@@MbbbbbB,"['solid', 'breakable']"
4559,lode_runner,../data/context_data/lode_runner/@/GGG@@G@@G.png,@,GGG@@G@@G,"['passable', 'empty']"
20057,megaman,../data/context_data/megaman/#/--|###---.png,#,--|###---,['solid']
1995,lode_runner,../data/context_data/lode_runner/@/@@@@@@@b@.png,@,@@@@@@@b@,"['passable', 'empty']"
7705,lode_runner,../data/context_data/lode_runner/-/#-----E-@.png,-,#-----E-@,"['passable', 'climbable']"
14615,lode_runner,../data/context_data/lode_runner/b/#@@bb@@b@.png,b,#@@bb@@b@,"['solid', 'breakable']"
20429,megaman,../data/context_data/megaman/-/--|--BP-B.png,-,--|--BP-B,"['passable', 'empty']"
9472,lode_runner,../data/context_data/lode_runner/B/bB#bB#bBB.png,B,bB#bB#bBB,['solid']
21692,megaman,../data/context_data/megaman/W/---WW-##-.png,W,---WW-##-,"['passable', 'collectable']"
19181,megaman,../data/context_data/megaman/-/--H--#@@#.png,-,--H--#@@#,"['passable', 'empty']"
1114,lode_runner,../data/context_data/lode_runner/@/-G@@@-G@@.png,@,-G@@@-G@@,"['passable', 'empty']"
20317,megaman,../data/context_data/megaman/-/--M---M--.png,-,--M---M--,"['passable', 'empty']"
1149,lode_runner,../data/context_data/lode_runner/@/bbb@@@--M.png,@,bbb@@@--M,"['passable', 'empty']"
21767,smb,../data/context_data/smb/o/---oo--E-.png,o,---oo--E-,"['passable', 'collectable']"
6592,lode_runner,../data/context_data/lode_runner/E/@@@@EG@bb.png,E,@@@@EG@bb,"['solid', 'hazard']"
15071,lode_runner,../data/context_data/lode_runner/b/bB#bbb@@#.png,b,bB#bbb@@#,"['solid', 'breakable']"
2729,lode_runner,../data/context_data/lode_runner/@/@#@@@#@@#.png,@,@#@@@#@@#,"['passable', 'empty']"
7635,lode_runner,../data/context_data/lode_runner/-/@@@--@@--.png,-,@@@--@@--,"['passable', 'climbable']"
15722,lode_runner,../data/context_data/lode_runner/b/bbb@bbBbG.png,b,bbb@bbBbG,"['solid', 'breakable']"
17213,lode_runner,../data/context_data/lode_runner/b/@G@bbbBbb.png,b,@G@bbbBbb,"['solid', 'breakable']"
3465,lode_runner,../data/context_data/lode_runner/@/b@Bb@bb@B.png,@,b@Bb@bb@B,"['passable', 'empty']"
16553,lode_runner,../data/context_data/lode_runner/b/BbbBbBBBB.png,b,BbbBbBBBB,"['solid', 'breakable']"
5907,lode_runner,../data/context_data/lode_runner/@/E##@@#@@@.png,@,E##@@#@@@,"['passable', 'empty']"
17942,kid_icarus,../data/context_data/kid_icarus/-/-----H###.png,-,-----H###,"['passable', 'empty']"
14306,lode_runner,../data/context_data/lode_runner/b/GbGbbb@--.png,b,GbGbbb@--,"['solid', 'breakable']"
16220,lode_runner,../data/context_data/lode_runner/b/---#bb#@@.png,b,---#bb#@@,"['solid', 'breakable']"
3137,lode_runner,../data/context_data/lode_runner/@/b@@@@#b@#.png,@,b@@@@#b@#,"['passable', 'empty']"
24028,loz,../data/context_data/loz/-/DWW--M---.png,-,DWW--M---,"['passable', 'empty']"
2430,lode_runner,../data/context_data/lode_runner/@/@M@G@@@@@.png,@,@M@G@@@@@,"['passable', 'empty']"
13637,lode_runner,../data/context_data/lode_runner/b/@Ebbb##@#.png,b,@Ebbb##@#,"['solid', 'breakable']"
5173,lode_runner,../data/context_data/lode_runner/@/@-#-@#@@@.png,@,@-#-@#@@@,"['passable', 'empty']"
8513,lode_runner,../data/context_data/lode_runner/B/bbb@BB@@b.png,B,bbb@BB@@b,['solid']
25313,loz,../data/context_data/loz/W/WWWWWWPPP.png,W,WWWWWWPPP,"['solid', 'wall']"
13551,lode_runner,../data/context_data/lode_runner/b/#@bbbbB@-.png,b,#@bbbbB@-,"['solid', 'breakable']"
3657,lode_runner,../data/context_data/lode_runner/@/@@@@@G---.png,@,@@@@@G---,"['passable', 'empty']"
13525,lode_runner,../data/context_data/lode_runner/b/   bbb@@E.png,b,   bbb@@E,"['solid', 'breakable']"
15605,lode_runner,../data/context_data/lode_runner/b/#Bb#bB#BB.png,b,#Bb#bB#BB,"['solid', 'breakable']"
24069,loz,../data/context_data/loz/D/---WDDWWW.png,D,---WDDWWW,"['solid', 'openable']"
12166,lode_runner,../data/context_data/lode_runner/#/G##B##B##.png,#,G##B##B##,"['passable', 'climbable']"
9579,lode_runner,../data/context_data/lode_runner/B/G@GBBBG@@.png,B,G@GBBBG@@,['solid']
13696,lode_runner,../data/context_data/lode_runner/b/@@#bb#@@#.png,b,@@#bb#@@#,"['solid', 'breakable']"
22917,smb,../data/context_data/smb/-/-----E-XX.png,-,-----E-XX,"['passable', 'empty']"
10137,lode_runner,../data/context_data/lode_runner/#/--G@#bbbb.png,#,--G@#bbbb,"['passable', 'climbable']"
17607,kid_icarus,../data/context_data/kid_icarus/T/###TT--TT.png,T,###TT--TT,"['solid', 'passable']"
934,lode_runner,../data/context_data/lode_runner/G/ @@ G- #G.png,G, @@ G- #G,"['passable', 'collectable']"
5707,lode_runner,../data/context_data/lode_runner/@/bbb@@@@GE.png,@,bbb@@@@GE,"['passable', 'empty']"
64,lode_runner,../data/context_data/lode_runner/G/GG@GGGbbb.png,G,GG@GGGbbb,"['passable', 'collectable']"
6124,lode_runner,../data/context_data/lode_runner/@/@--b@Gbbb.png,@,@--b@Gbbb,"['passable', 'empty']"
17327,lode_runner,../data/context_data/lode_runner/b/@@G#bbb@@.png,b,@@G#bbb@@,"['solid', 'breakable']"
7216,lode_runner,../data/context_data/lode_runner/-/@@@@-G@@b.png,-,@@@@-G@@b,"['passable', 'climbable']"
15025,lode_runner,../data/context_data/lode_runner/b/bbbbbbb@@.png,b,bbbbbbb@@,"['solid', 'breakable']"
8352,lode_runner,../data/context_data/lode_runner/B/@@@@B@BB@.png,B,@@@@B@BB@,['solid']
20950,megaman,../data/context_data/megaman/|/----|#-|#.png,|,----|#-|#,"['passable', 'climbable']"
16129,lode_runner,../data/context_data/lode_runner/b/@@bbb@bb#.png,b,@@bbb@bb#,"['solid', 'breakable']"
16589,lode_runner,../data/context_data/lode_runner/b/@G @b @@ .png,b,@G @b @@ ,"['solid', 'breakable']"
4256,lode_runner,../data/context_data/lode_runner/@/@@@G@@B#@.png,@,@@@G@@B#@,"['passable', 'empty']"
7327,lode_runner,../data/context_data/lode_runner/-/@b@@--@@@.png,-,@b@@--@@@,"['passable', 'climbable']"
7086,lode_runner,../data/context_data/lode_runner/-/bbb--@b@b.png,-,bbb--@b@b,"['passable', 'climbable']"
20261,megaman,../data/context_data/megaman/-/------#CC.png,-,------#CC,"['passable', 'empty']"
19887,megaman,../data/context_data/megaman/#/B---##-##.png,#,B---##-##,['solid']
16229,lode_runner,../data/context_data/lode_runner/b/bb#bb#b#b.png,b,bb#bb#b#b,"['solid', 'breakable']"
9148,lode_runner,../data/context_data/lode_runner/B/@B##B##Bb.png,B,@B##B##Bb,['solid']
21140,megaman,../data/context_data/megaman/#/#HH###   .png,#,#HH###   ,['solid']
4136,lode_runner,../data/context_data/lode_runner/@/@--B@@B@@.png,@,@--B@@B@@,"['passable', 'empty']"
13134,lode_runner,../data/context_data/lode_runner/b/@G@BbbG@@.png,b,@G@BbbG@@,"['solid', 'breakable']"
19958,megaman,../data/context_data/megaman/#/-w--##---.png,#,-w--##---,['solid']
7859,lode_runner,../data/context_data/lode_runner/B/   bB G@ .png,B,   bB G@ ,['solid']
20503,megaman,../data/context_data/megaman/-/------#|#.png,-,------#|#,"['passable', 'empty']"
8777,lode_runner,../data/context_data/lode_runner/B/BBBBBB   .png,B,BBBBBB   ,['solid']
992,lode_runner,../data/context_data/lode_runner/M/@@@GM@bbb.png,M,@@@GM@bbb,"['solid', 'hazard']"
3609,lode_runner,../data/context_data/lode_runner/@/@@@@@##b#.png,@,@@@@@##b#,"['passable', 'empty']"
6131,lode_runner,../data/context_data/lode_runner/@/bbb@@b@--.png,@,bbb@@b@--,"['passable', 'empty']"
10067,lode_runner,../data/context_data/lode_runner/#/@@#@#@#@@.png,#,@@#@#@#@@,"['passable', 'climbable']"
23287,smb,../data/context_data/smb/-/-----X---.png,-,-----X---,"['passable', 'empty']"
20683,megaman,../data/context_data/megaman/-/---P--##-.png,-,---P--##-,"['passable', 'empty']"
8995,lode_runner,../data/context_data/lode_runner/B/@@#bBB---.png,B,@@#bBB---,['solid']
13509,lode_runner,../data/context_data/lode_runner/b/@G##bb#@@.png,b,@G##bb#@@,"['solid', 'breakable']"
21084,megaman,../data/context_data/megaman/#/---####--.png,#,---####--,['solid']
17695,kid_icarus,../data/context_data/kid_icarus/-/H-H------.png,-,H-H------,"['passable', 'empty']"
6385,lode_runner,../data/context_data/lode_runner/@/ @@ @@ #-.png,@, @@ @@ #-,"['passable', 'empty']"
6632,lode_runner,../data/context_data/lode_runner/E/###@E#   .png,E,###@E#   ,"['solid', 'hazard']"
12685,lode_runner,../data/context_data/lode_runner/#/#@bb#b@##.png,#,#@bb#b@##,"['passable', 'climbable']"
15969,lode_runner,../data/context_data/lode_runner/b/G@Gbbbb@@.png,b,G@Gbbbb@@,"['solid', 'breakable']"
17723,kid_icarus,../data/context_data/kid_icarus/-/TT-------.png,-,TT-------,"['passable', 'empty']"
3378,lode_runner,../data/context_data/lode_runner/@/G@@E@#bbb.png,@,G@@E@#bbb,"['passable', 'empty']"
13278,lode_runner,../data/context_data/lode_runner/b/@@@bbbGG@.png,b,@@@bbbGG@,"['solid', 'breakable']"
6173,lode_runner,../data/context_data/lode_runner/@/@b##@bb#b.png,@,@b##@bb#b,"['passable', 'empty']"
10597,lode_runner,../data/context_data/lode_runner/#/#####EG@@.png,#,#####EG@@,"['passable', 'climbable']"
12512,lode_runner,../data/context_data/lode_runner/#/##@##b   .png,#,##@##b   ,"['passable', 'climbable']"
5161,lode_runner,../data/context_data/lode_runner/@/b@-b@-bb@.png,@,b@-b@-bb@,"['passable', 'empty']"
23895,loz,../data/context_data/loz/O/OOOOOOOOO.png,O,OOOOOOOOO,"['element', 'block']"
8175,lode_runner,../data/context_data/lode_runner/B/BBBBBb@bb.png,B,BBBBBb@bb,['solid']
1845,lode_runner,../data/context_data/lode_runner/@/-#@@@@@@@.png,@,-#@@@@@@@,"['passable', 'empty']"
21086,megaman,../data/context_data/megaman/#/-##L#####.png,#,-##L#####,['solid']
10410,lode_runner,../data/context_data/lode_runner/#/##b###@@@.png,#,##b###@@@,"['passable', 'climbable']"
23571,smb,../data/context_data/smb/X/oo-XX-   .png,X,oo-XX-   ,['solid']
6579,lode_runner,../data/context_data/lode_runner/E/   @E@bbb.png,E,   @E@bbb,"['solid', 'hazard']"
12733,lode_runner,../data/context_data/lode_runner/b/@#bbbb@@@.png,b,@#bbbb@@@,"['solid', 'breakable']"
17388,lode_runner,../data/context_data/lode_runner/b/@bBbb@@@@.png,b,@bBbb@@@@,"['solid', 'breakable']"
21502,megaman,../data/context_data/megaman/#/|-B######.png,#,|-B######,['solid']
7668,lode_runner,../data/context_data/lode_runner/-/@@@--@bbb.png,-,@@@--@bbb,"['passable', 'climbable']"
8562,lode_runner,../data/context_data/lode_runner/B/#@@#BGbbb.png,B,#@@#BGbbb,['solid']
8591,lode_runner,../data/context_data/lode_runner/B/@@@#BB#b@.png,B,@@@#BB#b@,['solid']
2669,lode_runner,../data/context_data/lode_runner/@/@@ @@ @E .png,@,@@ @@ @E ,"['passable', 'empty']"
18869,megaman,../data/context_data/megaman/-/---@--@--.png,-,---@--@--,"['passable', 'empty']"
15806,lode_runner,../data/context_data/lode_runner/b/b#@bbb@@@.png,b,b#@bbb@@@,"['solid', 'breakable']"
20933,megaman,../data/context_data/megaman/|/#|##|-#|#.png,|,#|##|-#|#,"['passable', 'climbable']"
3505,lode_runner,../data/context_data/lode_runner/@/BBB@@@@GG.png,@,BBB@@@@GG,"['passable', 'empty']"
489,lode_runner,../data/context_data/lode_runner/G/#@B#Gb#bb.png,G,#@B#Gb#bb,"['passable', 'collectable']"
7318,lode_runner,../data/context_data/lode_runner/-/--b@--@#@.png,-,--b@--@#@,"['passable', 'climbable']"
20053,megaman,../data/context_data/megaman/#/## ## ## .png,#,## ## ## ,['solid']
1169,lode_runner,../data/context_data/lode_runner/@/@@#G@bbbb.png,@,@@#G@bbbb,"['passable', 'empty']"
24972,loz,../data/context_data/loz/F/DWWFFFFMF.png,F,DWWFFFFMF,['solid']
22994,smb,../data/context_data/smb/-/------<>-.png,-,------<>-,"['passable', 'empty']"
14875,lode_runner,../data/context_data/lode_runner/b/@bb@bG@bb.png,b,@bb@bG@bb,"['solid', 'breakable']"
6471,lode_runner,../data/context_data/lode_runner/@/ @@ @@ b#.png,@, @@ @@ b#,"['passable', 'empty']"
13498,lode_runner,../data/context_data/lode_runner/b/E@GBbbB@@.png,b,E@GBbbB@@,"['solid', 'breakable']"
8445,lode_runner,../data/context_data/lode_runner/B/@bb@BbE@b.png,B,@bb@BbE@b,['solid']
11156,lode_runner,../data/context_data/lode_runner/#/@#@M#@   .png,#,@#@M#@   ,"['passable', 'climbable']"
24132,loz,../data/context_data/loz/I/WIIWIIDFI.png,I,WIIWIIDFI,"['element', 'block']"
21507,megaman,../data/context_data/megaman/#/-HH######.png,#,-HH######,['solid']
18153,kid_icarus,../data/context_data/kid_icarus/D/-D--D-TTT.png,D,-D--D-TTT,"['solid', 'openable']"
23894,loz,../data/context_data/loz/O/WWDOOOOOO.png,O,WWDOOOOOO,"['element', 'block']"
10324,lode_runner,../data/context_data/lode_runner/#/@#b@##@##.png,#,@#b@##@##,"['passable', 'climbable']"
24687,loz,../data/context_data/loz/F/FBFBFSFBF.png,F,FBFBFSFBF,['solid']
19811,megaman,../data/context_data/megaman/#/---t##t##.png,#,---t##t##,['solid']
13819,lode_runner,../data/context_data/lode_runner/b/## bb ## .png,b,## bb ## ,"['solid', 'breakable']"
12147,lode_runner,../data/context_data/lode_runner/#/b#b@#b@@@.png,#,b#b@#b@@@,"['passable', 'climbable']"
16538,lode_runner,../data/context_data/lode_runner/b/@@GBbBbG@.png,b,@@GBbBbG@,"['solid', 'breakable']"
20294,megaman,../data/context_data/megaman/-/-------w-.png,-,-------w-,"['passable', 'empty']"
4925,lode_runner,../data/context_data/lode_runner/@/b@@-@@G@@.png,@,b@@-@@G@@,"['passable', 'empty']"
1309,lode_runner,../data/context_data/lode_runner/@/@@b@@bE#b.png,@,@@b@@bE#b,"['passable', 'empty']"
15244,lode_runner,../data/context_data/lode_runner/b/@bbbb@@B#.png,b,@bbbb@@B#,"['solid', 'breakable']"
23729,smb,../data/context_data/smb/S/--E-SSEE-.png,S,--E-SSEE-,"['solid', 'breakable']"
11823,lode_runner,../data/context_data/lode_runner/#/#####B##B.png,#,#####B##B,"['passable', 'climbable']"
16571,lode_runner,../data/context_data/lode_runner/b/#Bb#bb#B@.png,b,#Bb#bb#B@,"['solid', 'breakable']"
3107,lode_runner,../data/context_data/lode_runner/@/bb#@@#bb#.png,@,bb#@@#bb#,"['passable', 'empty']"
1034,lode_runner,../data/context_data/lode_runner/M/@@#@M#Gb#.png,M,@@#@M#Gb#,"['solid', 'hazard']"
24189,loz,../data/context_data/loz/I/WFIWIFWFF.png,I,WFIWIFWFF,"['element', 'block']"
15903,lode_runner,../data/context_data/lode_runner/b/bbbbbbbbb.png,b,bbbbbbbbb,"['solid', 'breakable']"
6523,lode_runner,../data/context_data/lode_runner/E/bb#@E#bbb.png,E,bb#@E#bbb,"['solid', 'hazard']"
17829,kid_icarus,../data/context_data/kid_icarus/-/--#--#H-#.png,-,--#--#H-#,"['passable', 'empty']"
23468,smb,../data/context_data/smb/X/]XX]XX]XX.png,X,]XX]XX]XX,['solid']
12085,lode_runner,../data/context_data/lode_runner/#/b#@G#@bb@.png,#,b#@G#@bb@,"['passable', 'climbable']"
21151,megaman,../data/context_data/megaman/#/##-###-##.png,#,##-###-##,['solid']
12332,lode_runner,../data/context_data/lode_runner/#/-@-@#@@#@.png,#,-@-@#@@#@,"['passable', 'climbable']"
13376,lode_runner,../data/context_data/lode_runner/b/#bbbbb@@@.png,b,#bbbbb@@@,"['solid', 'breakable']"
23866,loz,../data/context_data/loz/P/DDWFPPFFF.png,P,DDWFPPFFF,"['element', 'block']"
